"";"AN_INICIO_PROGRAMA";"n()"
"1";1931;24
"2";1960;141
"3";1961;339
"4";1962;124
"5";1963;583
"6";1964;391
"7";1965;432
"8";1966;525
"9";1967;872
"10";1968;1435
"11";1969;1566
"12";1970;2594
"13";1971;3961
"14";1972;4964
"15";1973;3837
"16";1974;2744
"17";1975;2448
"18";1976;4165
"19";1977;2568
"20";1978;2283
"21";1979;1981
"22";1980;1704
"23";1981;588
"24";1982;922
"25";1983;1048
"26";1984;755
"27";1985;2001
"28";1986;1222
"29";1987;1689
"30";1988;2811
"31";1989;2660
"32";1990;1745
"33";1991;2224
"34";1992;2457
"35";1993;2832
"36";1994;4074
"37";1995;3949
"38";1996;3067
"39";1997;2626
"40";1998;2833
"41";1999;5121
"42";2000;3393
"43";2001;3673
"44";2002;4914
"45";2003;4623
"46";2004;3758
"47";2005;4703
"48";2006;7882
"49";2007;7489
"50";2008;7323
"51";2009;6535
"52";2010;8382
"53";2011;12595
"54";2012;9630
"55";2013;9975
"56";2014;7056
"57";2015;4836
"58";2016;4413
